tijd,positie1,positie2
1.7400348006960139e-05,9.6475528934600338e-18,0.0000000000000000e+00
1.8000360007200141e-05,1.0309311769742751e-17,0.0000000000000000e+00
1.8600372007440147e-05,1.0994268255170220e-17,0.0000000000000000e+00
1.9200384007680152e-05,1.1702544630585127e-17,0.0000000000000000e+00
1.9800396007920158e-05,1.2434263804525894e-17,0.0000000000000000e+00
2.0400408008160164e-05,1.3189549316357530e-17,0.0000000000000000e+00
2.1000420008400166e-05,1.3968525339417594e-17,0.0000000000000000e+00
2.1600432008640171e-05,1.4771316684177377e-17,0.0000000000000000e+00
2.2200444008880177e-05,1.5598048801418339e-17,0.0000000000000000e+00
2.2800456009120179e-05,1.6448847785423929e-17,0.0000000000000000e+00
2.3400468009360185e-05,1.7323840377186778e-17,0.0000000000000000e+00
2.4000480009600190e-05,1.8223153967631427e-17,0.0000000000000000e+00
2.4600492009840196e-05,1.9146916600852576e-17,0.0000000000000000e+00
2.5200504010080202e-05,2.0095256977369006e-17,0.0000000000000000e+00
2.5800516010320204e-05,2.1068304457393178e-17,0.0000000000000000e+00
2.6400528010560209e-05,2.2066189064116643e-17,0.0000000000000000e+00
2.7000540010800215e-05,2.3089041487011271e-17,0.0000000000000000e+00
2.7600552011040217e-05,2.4136993085146447e-17,0.0000000000000000e+00
2.8200564011280223e-05,2.5210175890522239e-17,0.0000000000000000e+00
2.8800576011520228e-05,2.6308722611418673e-17,0.0000000000000000e+00
2.9400588011760234e-05,2.7432766635761125e-17,0.0000000000000000e+00
3.0000600012000240e-05,2.8582442034501967e-17,0.0000000000000000e+00
3.0600612012240242e-05,2.9757883565018528e-17,0.0000000000000000e+00
3.1200624012480251e-05,3.0959226674527387e-17,0.0000000000000000e+00
3.1800636012720253e-05,3.2186607503515164e-17,0.0000000000000000e+00
3.2400648012960255e-05,3.3440162889185830e-17,0.0000000000000000e+00
3.3000660013200264e-05,3.4720030368924645e-17,0.0000000000000000e+00
3.3600672013440267e-05,3.6026348183778718e-17,0.0000000000000000e+00
3.4200684013680269e-05,3.7359255281954428e-17,0.0000000000000000e+00
3.4800696013920278e-05,3.8718891322331581e-17,0.0000000000000000e+00
3.5400708014160280e-05,4.0105396677994595e-17,0.0000000000000000e+00
3.6000720014400282e-05,4.1518912439780607e-17,0.0000000000000000e+00
3.6600732014640291e-05,4.2959580419844662e-17,0.0000000000000000e+00
3.7200744014880293e-05,4.4427543155242123e-17,0.0000000000000000e+00
3.7800756015120302e-05,4.5922943911528234e-17,0.0000000000000000e+00
3.8400768015360305e-05,4.7445926686375062e-17,0.0000000000000000e+00
3.9000780015600307e-05,4.8996636213205823e-17,0.0000000000000000e+00
3.9600792015840316e-05,5.0575217964846653e-17,0.0000000000000000e+00
4.0200804016080318e-05,5.2181818157195975e-17,0.0000000000000000e+00
4.0800816016320327e-05,5.3816583752911523e-17,0.0000000000000000e+00
4.1400828016560329e-05,5.5479662465115021e-17,0.0000000000000000e+00
4.2000840016800332e-05,5.7171202761114728e-17,0.0000000000000000e+00
4.2600852017040341e-05,5.8891353866145861e-17,0.0000000000000000e+00
4.3200864017280343e-05,6.0640265767128982e-17,0.0000000000000000e+00
4.3800876017520345e-05,6.2418089216446426e-17,0.0000000000000000e+00
4.4400888017760354e-05,6.4224975735736845e-17,0.0000000000000000e+00
4.5000900018000356e-05,6.6061077619708100e-17,0.0000000000000000e+00
4.5600912018240358e-05,6.7926547939968281e-17,0.0000000000000000e+00
4.6200924018480367e-05,6.9821540548875243e-17,0.0000000000000000e+00
4.6800936018720370e-05,7.1746210083404587e-17,0.0000000000000000e+00
4.7400948018960379e-05,7.3700711969036166e-17,0.0000000000000000e+00
4.8000960019200381e-05,7.5685202423659309e-17,0.0000000000000000e+00
4.8600972019440383e-05,7.7699838461496732e-17,0.0000000000000000e+00
4.9200984019680392e-05,7.9744777897047245e-17,0.0000000000000000e+00
4.9800996019920394e-05,8.1820179349047458e-17,0.0000000000000000e+00
5.0401008020160403e-05,8.3926202244452401e-17,0.0000000000000000e+00
5.1001020020400405e-05,8.6063006822435240e-17,0.0000000000000000e+00
5.1601032020640408e-05,8.8230754138406236e-17,0.0000000000000000e+00
5.2201044020880417e-05,9.0429606068050853e-17,0.0000000000000000e+00
